rank_by_latest_stars,repository,url,primary_language,latest_license,first_seen_week,last_seen_week,weeks_observed,latest_stars,first_observed_stars,observed_star_change,max_forks_observed,seen_in_trending,seen_in_new,top_topics
373,alkhudarigroupuae/PumpFun-Trainer_V1,https://github.com/alkhudarigroupuae/PumpFun-Trainer_V1,Python,MIT,2026-W26,2026-W26,1,121,121,0,0,false,true,ai-agent|algorithmic-trading|automated-trading|automation|bitcoin|blockchain|crypto-trading|degen
374,hbddevos/PumpFun-Trainer_V1,https://github.com/hbddevos/PumpFun-Trainer_V1,Python,MIT,2026-W26,2026-W26,1,121,121,0,0,false,true,ai-agent|algorithmic-trading|automated-trading|automation|bitcoin|blockchain|crypto-trading|degen
375,KyrieCheungYep/ky-design-to-html-skill,https://github.com/KyrieCheungYep/ky-design-to-html-skill,Python,,2026-W24,2026-W24,1,121,121,0,17,false,true,
376,yo-WASSUP/Good-Badminton,https://github.com/yo-WASSUP/Good-Badminton,Python,Apache-2.0,2026-W26,2026-W26,1,121,121,0,47,false,true,
377,baskduf/FableCodex,https://github.com/baskduf/FableCodex,Python,AGPL-3.0,2026-W25,2026-W25,1,120,120,0,16,false,true,codex|context-engineering|fable-5|prompt-engineering|skills|workflow
378,Miguok/fable-harness,https://github.com/Miguok/fable-harness,Python,MIT,2026-W28,2026-W28,1,120,120,0,19,false,true,
379,NanoFlow-io/engram,https://github.com/NanoFlow-io/engram,TypeScript,MIT,2026-W22,2026-W22,1,119,119,0,0,false,true,ai-agents|embeddings|lancedb|memory|openclaw|rag|sqlite|typescript
380,xqnode/codex-helper,https://github.com/xqnode/codex-helper,Rust,NOASSERTION,2026-W24,2026-W24,1,119,119,0,1,false,true,codex|deepseek|macos|proxy|rust|windows
381,xsser/codex-jailbreak-guide,https://github.com/xsser/codex-jailbreak-guide,Python,,2026-W28,2026-W28,1,119,119,0,22,false,true,
382,12britz/awesome-free-models,https://github.com/12britz/awesome-free-models,,NOASSERTION,2026-W24,2026-W24,1,118,118,0,7,false,true,
383,craftzdog/tmux-claude-session-manager,https://github.com/craftzdog/tmux-claude-session-manager,Shell,MIT,2026-W25,2026-W25,1,118,118,0,5,false,true,claude-code|tmux
384,Manavarya09/public-apis-live,https://github.com/Manavarya09/public-apis-live,TypeScript,MIT,2026-W26,2026-W26,1,118,118,0,8,false,true,api|api-list|apis|claude|developer-tools|free-apis|mcp|nextjs
385,MobiusQuant/OpenMobius-skill,https://github.com/MobiusQuant/OpenMobius-skill,Python,,2026-W22,2026-W22,1,118,118,0,16,false,true,
386,rbrown101010/rilable,https://github.com/rbrown101010/rilable,TypeScript,MIT,2026-W25,2026-W25,1,118,118,0,44,false,true,
387,wizenheimer/canary,https://github.com/wizenheimer/canary,TypeScript,NOASSERTION,2026-W24,2026-W24,1,118,118,0,10,false,true,
388,bunnyos/base-agent,https://github.com/bunnyos/base-agent,TypeScript,AGPL-3.0,2026-W23,2026-W23,1,117,117,0,1,false,true,agent|agentic-ai|base|cryptocurrency|web3
389,huangyun101/AI-Business-Hunter,https://github.com/huangyun101/AI-Business-Hunter,,,2026-W30,2026-W30,1,117,117,0,11,false,true,
390,Dangerous-hole/Pumpfun_AI_Trading_Bot,https://github.com/Dangerous-hole/Pumpfun_AI_Trading_Bot,TypeScript,,2026-W21,2026-W21,1,116,116,0,0,false,true,ai-trading|automation|cli|comment-bot|cryptocurrency|meme-coin|openai|pump-fun
391,ddcat-ai/open-ai-canvas,https://github.com/ddcat-ai/open-ai-canvas,TypeScript,AGPL-3.0,2026-W31,2026-W31,1,115,115,0,26,false,true,
392,Paresh-Maheshwari/morphe-ai,https://github.com/Paresh-Maheshwari/morphe-ai,Shell,GPL-3.0,2026-W29,2026-W29,1,115,115,0,13,false,true,android|apk|morphe|morphe-patches|paresh-patches|patcher|patches|patching
393,openfi-dao/kalshi-trading-bot,https://github.com/openfi-dao/kalshi-trading-bot,TypeScript,,2026-W23,2026-W23,1,114,114,0,318,false,true,ai-trading|bot|kalshi|llm|nodejs|prediction-markets|trading-bot
394,claude-code-ai-anthropic/free-claude-code-ai-desktop-app,https://github.com/claude-code-ai-anthropic/free-claude-code-ai-desktop-app,TypeScript,MIT,2026-W25,2026-W25,1,113,113,0,3,false,true,claude-ai-bot|claude-ai-desktop|claude-ai-skills|claude-api-proxy|claude-code-|claude-code-desktop|claude-code-source-code|claude-design-download
395,Invaro/opentax-engine,https://github.com/Invaro/opentax-engine,JavaScript,AGPL-3.0,2026-W31,2026-W31,1,113,113,0,17,false,true,
396,ATOM00blue/machine-learning-library,https://github.com/ATOM00blue/machine-learning-library,Python,NOASSERTION,2026-W23,2026-W23,1,112,112,0,11,false,true,arxiv|corpus|dataset|deep-learning|education|llm|machine-learning|nlp
397,basionwang-bot/HermesPet,https://github.com/basionwang-bot/HermesPet,Swift,Apache-2.0,2026-W21,2026-W21,1,111,111,0,15,false,true,ai|chatgpt|chinese|claude|deepseek|desktop-app|dynamic-island|llm
398,ksimback/looper,https://github.com/ksimback/looper,Python,MIT,2026-W26,2026-W26,1,111,111,0,10,false,true,
399,recursive-org/first-steps-toward-automated-ai-research,https://github.com/recursive-org/first-steps-toward-automated-ai-research,Python,Apache-2.0,2026-W25,2026-W25,1,111,111,0,10,false,true,
400,zyn26/minimax-m3-desktop-app-free-api,https://github.com/zyn26/minimax-m3-desktop-app-free-api,Go,MIT,2026-W26,2026-W26,1,111,111,0,2,false,true,ai-app|ai-application-development|ai-desktop|ai-powered-applications|alphabeta-minimax-search|desktop-ai|free-ai-api|free-apis
401,briliwar0/glm-5.2-free-desktop-app,https://github.com/briliwar0/glm-5.2-free-desktop-app,C#,MIT,2026-W26,2026-W26,1,110,110,0,3,false,true,bigmodel|glm|glm-4-7|glm-5|glm-5-1-download|glm-5-1-install|glm-5-1-installer|glm-5-2-download
402,gonemedia/aipointer,https://github.com/gonemedia/aipointer,TypeScript,MIT,2026-W21,2026-W21,1,110,110,0,2,false,true,ai|ai-assistant|ai-tools|anthropic|cursor|desktop-app|electron|gemini
403,1786329860/deep-teach,https://github.com/1786329860/deep-teach,,,2026-W21,2026-W21,1,108,108,0,7,false,true,
404,aleclindz/seo-skill-bench,https://github.com/aleclindz/seo-skill-bench,JavaScript,MIT,2026-W28,2026-W28,1,108,108,0,0,false,true,
405,OnlyTerp/UltraCode-Shim,https://github.com/OnlyTerp/UltraCode-Shim,Python,MIT,2026-W23,2026-W23,1,108,108,0,6,false,true,
406,afumu/openteam,https://github.com/afumu/openteam,TypeScript,NOASSERTION,2026-W22,2026-W22,1,107,107,0,31,false,true,
407,Nexis-AI/NexBench,https://github.com/Nexis-AI/NexBench,TypeScript,Apache-2.0,2026-W29,2026-W29,1,107,107,0,18,false,true,ai|ai-agents|ai-tools|benchmark|benchmark-framework|blockchain|durable-agents|llm
408,dongshuyan/compass-skills,https://github.com/dongshuyan/compass-skills,Python,MIT,2026-W25,2026-W25,1,106,106,0,11,false,true,agent-memory|agent-skills|ai-agents|ai-coding-agent|claude-code|claude-skills|codex-skills|developer-tools
409,vinayaklatthe/microsoft-security-skills,https://github.com/vinayaklatthe/microsoft-security-skills,JavaScript,MIT,2026-W25,2026-W25,1,106,106,0,27,false,true,ai-agents|copilot|defender|entra|entra-id|microsoft|purview|security
410,ahammadmejbah/Awesome-Datasets-Hub,https://github.com/ahammadmejbah/Awesome-Datasets-Hub,,,2026-W21,2026-W21,1,105,105,0,29,false,true,benchmark|benchmarking|deep-learning|deep-neural-networks|deeplearning|genetic-algorithm|llm|llm-evaluation
411,lofty14/restaurant-digitalization-blueprint,https://github.com/lofty14/restaurant-digitalization-blueprint,,MIT,2026-W30,2026-W30,1,105,105,0,35,false,true,ai|ai-agents|blueprint|chinese|claude|digitalization|django|erp
412,sgup/ai,https://github.com/sgup/ai,JavaScript,MIT,2026-W25,2026-W25,1,105,105,0,10,false,true,
413,yanhua1010/self-media-content-workflow,https://github.com/yanhua1010/self-media-content-workflow,Python,MIT,2026-W31,2026-W31,1,105,105,0,20,false,true,agent-skills|ai-agents|claude-code|claude-skills|content-creation|copywriting|self-media|social-media
414,youxiandechilun/Guido,https://github.com/youxiandechilun/Guido,Java,,2026-W29,2026-W29,1,105,105,0,2,false,true,ai|digital-human|java|mysql|rag|spring-boot|sse|uniapp
415,cporter202/coreclaw-api-directory,https://github.com/cporter202/coreclaw-api-directory,Python,,2026-W31,2026-W31,1,104,104,0,30,false,true,api-directory|api-list|automation|awesome-list|coreclaw|data-extraction|developer-tools|ecommerce
416,flatkey-ai/awesome-images,https://github.com/flatkey-ai/awesome-images,JavaScript,,2026-W26,2026-W26,1,104,104,0,0,false,true,affordable-ai|affordable-ai-platform|ai-api|gpt-image-2|gpt-image-2-api|gpt-image-2-prompts|nano-banana|nano-banana-pro
417,pfwjrfp5hh-byte/WorkMesh,https://github.com/pfwjrfp5hh-byte/WorkMesh,TypeScript,MIT,2026-W24,2026-W24,1,104,104,0,6,false,true,ai-agent|ai-platform|employment|future-of-work|governance|job-matching|nestjs|nextjs
418,twhsi/skills,https://github.com/twhsi/skills,Python,,2026-W26,2026-W26,1,104,104,0,16,false,true,
419,Aimino-Tech/opendocswork-mcp,https://github.com/Aimino-Tech/opendocswork-mcp,Rust,GPL-3.0,2026-W23,2026-W23,1,102,102,0,8,false,true,
420,alpunlu12-commits/jarvis,https://github.com/alpunlu12-commits/jarvis,,,2026-W21,2026-W21,1,102,102,0,30,false,true,
421,Forsy-AI/forsy-trace-skill,https://github.com/Forsy-AI/forsy-trace-skill,Python,MIT,2026-W24,2026-W24,1,102,102,0,10,false,true,agent-evaluation|agent-traces|agent-workflows|ai-agents|llm-agents|post-training|process-supervision|reinforcement-learning
422,Dgeloe4-yb/market-pilot,https://github.com/Dgeloe4-yb/market-pilot,JavaScript,Apache-2.0,2026-W29,2026-W30,2,101,81,20,1,false,true,ai-product-management|fastapi|llm|market-research|react
423,Happy-Chen-CH/text_classification,https://github.com/Happy-Chen-CH/text_classification,Python,,2026-W24,2026-W24,1,101,101,0,4,false,true,ai|bert|distilbert|fasttext-python|python|random-forest-classifier|tensorflow|text-classification
424,TheColliny/FableClaudeMDForOpus,https://github.com/TheColliny/FableClaudeMDForOpus,,,2026-W28,2026-W28,1,101,101,0,20,false,true,
425,TwoSevenOneT/EDRChoker,https://github.com/TwoSevenOneT/EDRChoker,C#,,2026-W24,2026-W24,1,101,101,0,18,false,true,
426,SeanJ1ang/design-judge-skills,https://github.com/SeanJ1ang/design-judge-skills,Python,Apache-2.0,2026-W30,2026-W30,1,100,100,0,11,false,true,agent-skills|claude-code|codex|design-awards|design-evaluation|design-research|hermes-agent|industrial-design
427,AITabby/opencodex,https://github.com/AITabby/opencodex,TypeScript,,2026-W23,2026-W23,1,99,99,0,5,false,true,
428,Finderchangchang/codex-autoskin,https://github.com/Finderchangchang/codex-autoskin,JavaScript,MIT,2026-W29,2026-W30,2,99,84,15,16,false,true,agent|cdp|codex|electron|openai|skin|theme
429,laoshan-song/Awesome-LLM-Interview,https://github.com/laoshan-song/Awesome-LLM-Interview,HTML,,2026-W23,2026-W23,1,99,99,0,5,false,true,
430,louisfb01/start-ai-engineering,https://github.com/louisfb01/start-ai-engineering,,,2026-W24,2026-W24,1,99,99,0,12,false,true,
